State,Suburb,Postcode
 ACT,Belconnen,2617
 ACT,Fyshwick,2609
 NSW,Alexandria,2015
 NSW,Armidale,2350
 NSW,Artarmon,2064
 NSW,Ashfield,2131
 NSW,Ballina,2478
 NSW,Bathurst,2795
 NSW,Campbelltown,2560
 NSW,Castle Hill,2154
 NSW,Chatswood,2067
 NSW,Dubbo,2830
 NSW,Dural,2158
 NSW,Lidcombe,2141
 NSW,Lismore,2480
 NSW,Lithgow,2790
 NSW,Mascot,2020
 NSW,Narrabeen,2101
 NSW,Nowra,2541
 NSW,Orange,2800
 NSW,Penrith,2750
 NSW,Randwick,2031
 NSW,Rydalmere,2116
 NSW,Thornleigh,2120
 NSW,Tweed Heads,2485
 NSW,Ulladulla,2539
 NSW,Wagga Wagga,2650
 NT,Alice Springs,870
 QLD,Airlie Beach,4802
 QLD,Atherton,4883
 QLD,Burleigh Waters,4220
 QLD,Cairns,4870
 QLD,Caloundra,4551
 QLD,Gladstone,4680
 QLD,Gympie,4570
 QLD,Hervey Bay,4655
 QLD,Indooroopilly,4068
 QLD,Ipswich,4305
 QLD,Mackay,4740
 QLD,Maroochydore,4558
 QLD,Mt Isa,4825
 QLD,Noosaville,4566
 QLD,North Lakes,4509
 QLD,Rockhampton,4700
 QLD,Southport,4215
 QLD,Stafford,4053
 QLD,Toombul,4012
 QLD,Underwood,4119
 QLD,Yeppoon,4703
 SA,Berri,5343
 SA,Marion,5043
 SA,Mt Gambier,5290
 SA,Noarlunga,5168
 SA,Port Lincoln,5607
 SA,Prospect,5082
 SA,Seaford,5169
 SA,Woodville,5011
 TAS,Burnie,7320
 TAS,Glenorchy,7010
 TAS,Launceston,7250
 TAS,Rosny Park,7018
 VIC,Altona,3018
 VIC,Ballarat,3353
 VIC,Bendigo,3550
 VIC,Chadstone,3148
 VIC,Collingwood,3066
 VIC,Cranbourne,3977
 VIC,Croydon,3136
 VIC,Dandenong,3175
 VIC,Epping,3076
 VIC,Epsom,3551
 VIC,Frankston,3199
 VIC,Hastings,3915
 VIC,Horsham,3400
 VIC,Mildura,3500
 VIC,Mornington,3931
 VIC,Nunawading,3131
 VIC,Ringwood,3134
 VIC,Scoresby,3179
 VIC,Shepparton,3630
 VIC,Sunbury,3429
 VIC,Warrnambool,3280
 VIC,Werribee,3030
 VIC,Wodonga,3690
 WA,Albany,6330
 WA,Balcatta,6021
 WA,Broome,6725
 WA,Bussleton,6280
 WA,Claremont,6010
 WA,Esperance,6450
 WA,Geraldton,6530
 WA,Harrisdale,6112
 WA,Inglewood,6052
 WA,Joondalup,6027
 WA,Maddington,6109
 WA,Mindarie,6030
 WA,Canarvon,6701
